timestamp,load_avg,mem_used_mb,mem_total_mb,disk_pct
2026-04-30T22:03:54Z,1.05,205,512,18
2026-04-30T22:13:56Z,0.87,205,512,18
2026-04-30T22:23:57Z,1.19,205,512,18
2026-04-30T22:33:59Z,0.75,205,512,18
2026-04-30T22:44:00Z,1.48,205,512,18
2026-04-30T22:54:02Z,1.22,204,512,18
2026-04-30T23:04:03Z,0.44,205,512,18
2026-04-30T23:14:05Z,1.39,204,512,18
2026-04-30T23:24:06Z,0.87,205,512,18
2026-04-30T23:34:07Z,0.89,205,512,18
2026-04-30T23:44:09Z,0.78,205,512,18
2026-04-30T23:54:10Z,0.69,206,512,18
