timestamp,load_avg,mem_used_mb,mem_total_mb,disk_pct
2026-04-30T14:02:27Z,0.85,188,512,18
2026-04-30T14:02:44Z,0.95,188,512,18
2026-04-30T14:12:46Z,1.72,190,512,18
2026-04-30T14:22:47Z,1.64,192,512,18
2026-04-30T14:32:49Z,0.94,192,512,18
2026-04-30T14:42:51Z,1.32,191,512,18
2026-04-30T14:52:52Z,1.66,192,512,18
2026-04-30T15:02:53Z,1.02,192,512,18
2026-04-30T15:12:55Z,1.12,193,512,18
2026-04-30T15:22:56Z,1.25,192,512,18
2026-04-30T15:32:58Z,1.69,193,512,18
2026-04-30T15:42:59Z,2.24,193,512,18
2026-04-30T15:53:01Z,1.38,192,512,18
2026-04-30T16:03:02Z,1.13,194,512,18
2026-04-30T16:13:04Z,1.62,194,512,18
2026-04-30T16:23:05Z,0.74,195,512,18
2026-04-30T16:33:07Z,2.18,195,512,18
2026-04-30T16:43:08Z,2.80,192,512,18
2026-04-30T16:53:10Z,1.99,193,512,18
2026-04-30T17:03:11Z,1.57,193,512,18
2026-04-30T17:13:13Z,2.13,193,512,18
2026-04-30T17:23:15Z,1.46,194,512,18
2026-04-30T17:33:16Z,0.79,193,512,18
2026-04-30T17:43:17Z,1.01,192,512,18
2026-04-30T17:53:19Z,1.12,194,512,18
2026-04-30T18:03:20Z,0.92,194,512,18
2026-04-30T18:13:21Z,1.22,194,512,18
2026-04-30T18:23:23Z,0.83,195,512,18
2026-04-30T18:33:24Z,1.24,195,512,18
2026-04-30T18:43:26Z,0.60,194,512,18
2026-04-30T18:53:27Z,1.19,194,512,18
2026-04-30T19:03:28Z,1.51,194,512,18
2026-04-30T19:13:30Z,0.75,192,512,18
2026-04-30T19:23:31Z,0.82,195,512,18
2026-04-30T19:33:33Z,1.65,195,512,18
2026-04-30T19:43:34Z,0.86,196,512,18
